YrPlayer,Year,Rank,Player,Team,AVG,G,PA,AB,H,1B,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,E,SF,SH,IBB,TB,OBP,SLG,OPS,ISO,SECA,TA,RC,RC/27,wOBA,XR
2000스미스 ,2000,21,스미스 ,LG ,0.288,118,484,423,122,59,27,1,35,100,0,1,53,2,120,17,4,6,0,3,256,0.365702479,0.605200946,0.970903425,0.31678487,0.439716312,0.971786834,89.56561983,7.440836109,0.406885655,86.37
2000박진만 ,2000,22,박진만 ,현대 ,0.288,129,477,420,121,72,30,4,15,58,0,5,36,6,76,9,15,4,11,0,204,0.349785408,0.485714286,0.835499693,0.197619048,0.271428571,0.769968051,69.57081761,5.726866084,0.360103004,67.112
2000강석천 ,2000,23,강석천 ,한화 ,0.286,123,487,433,124,91,24,2,7,49,15,8,34,10,61,18,21,5,5,2,173,0.348547718,0.399538106,0.748085824,0.113163972,0.207852194,0.668656716,57.41815195,4.4935945,0.3282,56.952
2000박정태 ,2000,24,박정태 ,롯데 ,0.285,107,439,386,110,87,15,2,6,53,3,0,47,1,42,13,8,3,2,1,147,0.361556064,0.380829016,0.74238508,0.095854922,0.225388601,0.685121107,53.96378132,4.955857468,0.329827982,52.994
2000박경완 ,2000,25,박경완 ,현대 ,0.282,130,517,408,115,59,16,0,40,95,7,4,87,12,112,7,9,4,6,7,251,0.418786693,0.615196078,1.033982771,0.333333333,0.553921569,1.161184211,111.4183366,9.580557602,0.433595238,103.494
2000유지현 ,2000,26,유지현 ,LG ,0.281,129,592,495,139,107,24,1,7,38,25,9,73,2,50,4,14,4,18,1,186,0.3728223,0.375757576,0.748579875,0.094949495,0.274747475,0.750677507,77.98256757,5.384985484,0.334993019,77.21
2000김대익 ,2000,27,김대익 ,롯데 ,0.278,133,534,464,129,92,27,4,6,47,12,11,53,2,82,5,2,4,11,3,182,0.351816444,0.392241379,0.744057823,0.114224138,0.230603448,0.678062678,65.92898876,4.863613925,0.326886538,64.574
2000정수근 ,2000,28,정수근 ,두산 ,0.277,127,567,502,139,110,23,3,3,50,47,7,47,5,40,5,3,6,7,0,177,0.341071429,0.352589641,0.69366107,0.075697211,0.249003984,0.717333333,69.99626102,4.870873834,0.309269643,70.56
2000김응국 ,2000,29,김응국 ,롯데 ,0.277,107,439,401,111,87,15,3,6,45,9,7,34,2,78,7,2,1,1,4,150,0.335616438,0.374064838,0.709681276,0.097256858,0.187032419,0.618421053,49.69776765,4.385097146,0.311207373,48.416
2000심재학 ,2000,30,심재학 ,현대 ,0.265,130,502,430,114,62,30,1,21,75,3,2,51,15,59,7,4,3,3,1,209,0.360721443,0.486046512,0.846767955,0.220930233,0.341860465,0.849230769,78.54418327,6.406927336,0.366885542,75.858
2000조경환 ,2000,31,조경환 ,롯데 ,0.264,113,438,386,102,60,15,2,25,64,1,4,42,9,113,6,2,1,0,2,196,0.349315068,0.507772021,0.857087089,0.243523316,0.344559585,0.829931973,68.48981735,6.268559554,0.368506881,66.626
2000장종훈 ,2000,32,장종훈 ,한화 ,0.264,127,512,447,118,71,19,0,28,81,1,3,52,11,114,15,0,2,0,5,221,0.353515625,0.494407159,0.847922784,0.230425056,0.342281879,0.812680115,75.65492188,5.852959572,0.364280079,74.358
2000김한수 ,2000,33,김한수 ,삼성 ,0.263,126,519,464,122,88,26,1,7,57,8,5,30,13,73,7,13,6,6,0,171,0.321637427,0.368534483,0.69017191,0.105603448,0.176724138,0.61299435,56.77213873,4.188108595,0.305241715,56.806
2000최태원 ,2000,34,최태원 ,SK ,0.262,133,568,492,129,109,15,0,5,50,9,4,56,10,55,9,9,3,7,1,159,0.347593583,0.323170732,0.670764315,0.06097561,0.18495935,0.611702128,59.52809859,4.163882544,0.304867857,60.14
2000정성훈 ,2000,35,정성훈 ,해태 ,0.26,119,499,457,119,94,21,3,1,37,10,4,25,3,55,7,16,2,12,0,149,0.301848049,0.326039387,0.627887437,0.065645514,0.133479212,0.524355301,45.99470942,3.421094089,0.278790554,44.49
2000이종열 ,2000,36,이종열 ,LG ,0.25,131,492,420,105,76,19,4,6,35,9,5,41,7,60,3,10,1,23,0,150,0.326226013,0.357142857,0.68336887,0.107142857,0.214285714,0.625386997,52.94268293,4.119459478,0.305270789,52.17
2000김민재 ,2000,37,김민재 ,롯데 ,0.249,133,437,382,95,79,10,3,3,33,14,9,36,6,50,8,23,2,11,2,120,0.321596244,0.314136126,0.63573237,0.065445026,0.172774869,0.549342105,39.66315789,3.378250042,0.285813679,39.87
2000채종범 ,2000,38,채종범 ,SK ,0.247,132,518,457,113,78,22,5,8,52,5,8,35,9,59,10,2,4,13,1,169,0.310891089,0.369803063,0.680694153,0.122538293,0.192560175,0.580110497,51.41926641,3.663113966,0.299656746,51.638
2000김종훈 ,2000,39,김종훈 ,삼성 ,0.245,127,504,444,109,72,24,2,11,40,7,2,46,6,86,9,3,2,6,0,170,0.323293173,0.382882883,0.706176056,0.137387387,0.252252252,0.656069364,56.94047619,4.342917676,0.312767068,56.312
2000이호성 ,2000,40,이호성 ,해태 ,0.242,117,468,397,96,63,25,0,8,57,13,1,65,4,102,8,3,2,0,1,145,0.352564103,0.365239295,0.717803397,0.123425693,0.317380353,0.729032258,56.82666667,4.917692308,0.322683084,56.284
2000김태균 ,2000,41,김태균 ,삼성 ,0.24,127,446,396,95,70,20,1,4,36,5,2,31,4,87,15,10,3,12,1,129,0.299539171,0.325757576,0.625296746,0.085858586,0.171717172,0.525157233,37.55856502,3.045289056,0.278205543,36.524
2000퀸란 ,2000,42,퀸란 ,현대 ,0.236,133,537,487,115,53,23,2,37,91,2,1,36,11,173,6,8,2,1,1,253,0.302238806,0.519507187,0.821745993,0.283367556,0.359342916,0.794195251,77.22867784,5.45857147,0.349947664,78.046
2001양준혁 ,2001,1,양준혁 ,LG ,0.355,124,531,439,156,119,20,3,14,92,12,5,80,1,55,9,1,8,2,4,224,0.448863636,0.510250569,0.959114206,0.154897494,0.353075171,1.050505051,107.486,9.453166124,0.414437023,98.72
2001심재학 ,2001,2,심재학 ,두산 ,0.344,117,469,369,127,82,20,1,24,88,7,1,86,7,50,6,6,3,4,8,221,0.47311828,0.598915989,1.072034269,0.254742547,0.504065041,1.285140562,113.7120256,11.9930652,0.454190372,99.71
2001에레라 ,2001,3,에레라 ,SK ,0.34,103,450,418,142,99,27,1,15,63,15,7,24,5,53,11,4,2,1,4,216,0.380846325,0.516746411,0.897592737,0.177033493,0.253588517,0.860544218,78.8324,7.166581818,0.385051685,72.986
2001호세 ,2001,4,호세 ,롯데 ,0.335,117,499,367,123,65,20,2,36,102,7,4,127,1,72,4,3,4,0,28,255,0.503006012,0.694822888,1.1978289,0.359673025,0.713896458,1.531746032,139.6251703,14.72609218,0.486210191,119.264
2001데이비스 ,2001,5,데이비스 ,한화 ,0.335,130,564,496,166,115,21,0,30,96,15,9,60,2,74,15,6,6,0,9,277,0.404255319,0.558467742,0.962723061,0.223790323,0.356854839,0.974576271,109.1255319,8.184414894,0.408075676,102.288
2001마해영 ,2001,6,마해영 ,삼성 ,0.328,133,547,470,154,106,18,0,30,95,1,1,68,5,82,13,2,4,0,3,262,0.414990859,0.557446809,0.972437668,0.229787234,0.374468085,1.015151515,110.1213894,8.902028484,0.416534926,101.144
2001전준호 ,2001,7,전준호 ,현대 ,0.325,125,490,400,130,102,18,6,4,35,27,15,65,8,51,5,3,4,13,1,172,0.42557652,0.43,0.85557652,0.105,0.2975,0.886206897,79.77306122,7.015871834,0.379378151,76.192
2001김재현 ,2001,8,김재현 ,LG ,0.325,126,534,428,139,101,29,1,8,61,10,8,88,6,83,9,3,4,8,1,194,0.442965779,0.453271028,0.896236808,0.128504673,0.338785047,0.947712418,92.88,7.886037736,0.396653333,86.846
2001김동주 ,2001,9,김동주 ,두산 ,0.324,103,421,364,118,82,18,0,18,62,2,2,47,4,57,10,3,6,0,5,190,0.401425178,0.521978022,0.9234032,0.197802198,0.326923077,0.934108527,76.86660333,7.861357158,0.394394231,72.414
2001브리또 ,2001,10,브리또 ,SK ,0.32,122,510,422,135,86,27,0,22,80,7,3,57,24,53,12,23,5,2,7,228,0.42519685,0.54028436,0.965481211,0.220379147,0.36492891,1.036423841,100.3108235,8.765023415,0.413407186,92.566
2001김종석 ,2001,11,김종석 ,한화 ,0.315,116,445,390,123,83,22,2,16,65,4,1,49,1,78,9,0,5,0,1,197,0.388764045,0.505128205,0.89389225,0.18974359,0.323076923,0.902527076,78.54035955,7.519821659,0.385202703,73.636
2001김한수 ,2001,12,김한수 ,삼성 ,0.311,117,478,427,133,89,29,2,13,61,3,2,28,13,57,11,10,8,2,3,205,0.365546218,0.480093677,0.845639895,0.168618267,0.236533958,0.804560261,74.65280335,6.358440664,0.363065539,71.804
2001장성호 ,2001,13,장성호 ,KIA ,0.311,133,591,489,152,93,32,4,23,97,6,4,90,6,53,11,13,3,3,5,261,0.421768707,0.533742331,0.955511039,0.222903885,0.411042945,1.019886364,114.6864636,8.649537759,0.410307033,105.216
2001산토스 ,2001,14,산토스 ,KIA ,0.31,130,541,484,150,105,19,0,26,107,1,0,46,1,66,17,0,9,1,8,247,0.364814815,0.510330579,0.875145393,0.200413223,0.297520661,0.84045584,87.45804067,6.541183097,0.370659774,85.552
2001이병규 ,2001,15,이병규 ,LG ,0.308,133,607,542,167,121,30,4,12,83,24,8,54,4,69,10,7,3,4,6,241,0.373134328,0.444649446,0.817783775,0.136531365,0.265682657,0.801526718,92.29403624,6.229847446,0.354770519,87.748
2001정수근 ,2001,16,정수근 ,두산 ,0.306,122,546,467,143,111,21,9,2,53,52,11,71,1,51,8,6,5,2,1,188,0.395220588,0.402569593,0.797790181,0.096359743,0.336188437,0.87755102,85.12717949,6.566953846,0.353712707,82.492
2001최기문 ,2001,17,최기문 ,롯데 ,0.304,127,451,385,117,92,16,2,7,47,8,5,40,7,52,6,8,5,14,1,158,0.375286041,0.41038961,0.785675652,0.106493506,0.218181818,0.745519713,62.42128603,5.655619875,0.34641055,61.064
2001조경환 ,2001,18,조경환 ,롯데 ,0.303,120,497,433,131,72,33,0,26,102,2,0,47,8,109,6,1,6,3,2,242,0.376518219,0.558891455,0.935409674,0.256351039,0.369515012,0.970779221,94.7082495,8.066633238,0.397373984,88.148
2001박진만 ,2001,19,박진만 ,현대 ,0.3,122,449,383,115,80,13,0,22,63,9,6,47,4,65,13,25,3,12,0,194,0.3798627,0.506527415,0.886390115,0.206266319,0.336814621,0.864111498,71.94160356,6.431865219,0.383757437,70.22
2001이숭용 ,2001,20,이숭용 ,현대 ,0.3,124,496,430,129,89,29,1,10,64,4,0,47,9,47,5,6,4,6,2,190,0.37755102,0.441860465,0.819411486,0.141860465,0.260465116,0.816993464,76.68870968,6.552516333,0.358391393,72.804
2001심정수 ,2001,21,심정수 ,현대 ,0.294,107,453,381,112,74,19,1,18,70,8,2,60,11,75,11,5,1,0,4,187,0.40397351,0.490813648,0.894787158,0.196850394,0.37007874,0.936170213,78.47019868,7.486556057,0.388806236,73.71
2001홍세완 ,2001,22,홍세완 ,KIA ,0.293,133,508,451,132,93,24,1,14,72,8,2,43,3,62,14,15,6,5,2,200,0.35387674,0.44345898,0.79733572,0.150776053,0.259423503,0.752238806,70.5784252,5.507564972,0.345872255,69.274
2001우즈 ,2001,23,우즈 ,두산 ,0.291,118,525,436,127,75,16,2,34,113,12,3,83,1,114,11,3,5,0,4,249,0.401904762,0.571100917,0.973005679,0.279816514,0.490825688,1.058823529,104.5563429,8.606772125,0.412439539,98.518
2001김수연 ,2001,24,김수연 ,한화 ,0.291,129,446,392,114,101,10,3,0,20,42,16,47,2,67,3,7,1,4,1,130,0.368778281,0.331632653,0.700410934,0.040816327,0.227040816,0.69023569,53.89345291,4.818288837,0.31714966,53.694
2001박현승 ,2001,25,박현승 ,롯데 ,0.288,123,521,427,123,93,21,4,5,53,15,6,72,13,68,5,9,3,6,1,167,0.403883495,0.391100703,0.794984198,0.103044496,0.292740047,0.828571429,76.12291747,6.343576456,0.357428016,74.166
2001이영우 ,2001,26,이영우 ,한화 ,0.286,126,448,381,109,66,25,3,15,65,10,3,62,0,70,8,1,1,4,4,185,0.385135135,0.485564304,0.87069944,0.199475066,0.380577428,0.897526502,74.24285714,6.960267857,0.376127273,69.81
2001서용빈 ,2001,27,서용빈 ,LG ,0.286,126,421,371,106,83,19,4,0,49,4,2,37,5,50,10,3,1,7,3,133,0.357487923,0.358490566,0.715978489,0.07277628,0.177897574,0.63898917,48.25577197,4.57159945,0.318080292,46.13
2001김종국 ,2001,28,김종국 ,KIA ,0.285,101,416,361,103,81,15,3,4,25,21,12,40,5,56,5,7,3,7,0,136,0.361858191,0.376731302,0.738589493,0.091412742,0.227146814,0.690909091,51.58754808,4.887241397,0.329388753,51.292
2001김대익 ,2001,29,김대익 ,롯데 ,0.285,130,458,404,115,84,24,2,5,33,9,10,33,1,75,8,0,4,16,0,158,0.337104072,0.391089109,0.728193181,0.106435644,0.185643564,0.622149837,52.03388646,4.296375946,0.319966063,51.09
2001장원진 ,2001,30,장원진 ,두산 ,0.285,129,559,513,146,121,17,3,5,53,11,4,38,3,43,13,2,3,2,2,184,0.33572711,0.358674464,0.694401573,0.074074074,0.161793372,0.604166667,61.57101968,4.273566919,0.307106306,60.526
2001박재홍 ,2001,31,박재홍 ,현대 ,0.284,127,570,489,139,98,20,3,18,80,7,7,74,2,86,12,5,5,0,2,219,0.377192982,0.447852761,0.825045743,0.163599182,0.314928425,0.799457995,84.06680702,6.06899409,0.360547535,82.342
2001신동주 ,2001,32,신동주 ,KIA ,0.284,116,435,387,110,74,24,1,11,52,13,8,33,10,58,5,5,4,1,3,169,0.352534562,0.436692506,0.789227069,0.15245478,0.250645995,0.748275862,60.75034483,5.560201052,0.342842227,59.566
2001유지현 ,2001,33,유지현 ,LG ,0.283,129,580,448,127,90,26,2,9,53,21,7,96,3,59,13,15,3,30,0,184,0.410909091,0.410714286,0.821623377,0.127232143,0.372767857,0.870967742,84.46710345,6.097892495,0.368094545,82.098
2001안경현 ,2001,34,안경현 ,두산 ,0.282,131,539,457,129,80,31,1,17,87,4,1,54,13,51,17,18,8,7,1,213,0.368421053,0.466083151,0.834504204,0.18380744,0.308533917,0.817919075,79.27109462,5.928863032,0.362099812,77.952
2001박한이 ,2001,35,박한이 ,삼성 ,0.279,130,501,420,117,76,25,3,13,61,17,9,60,12,60,14,2,0,9,0,187,0.384146341,0.445238095,0.829384437,0.166666667,0.328571429,0.819018405,72.64239521,5.854760211,0.366394309,69.93
2001마르티네스 ,2001,36,마르티네스 ,삼성 ,0.278,128,550,482,134,80,27,2,25,96,28,11,50,7,79,12,5,9,2,4,240,0.348540146,0.497925311,0.846465457,0.219917012,0.358921162,0.846361186,83.71287273,5.916878439,0.360542279,85.078
2001이승엽 ,2001,37,이승엽 ,삼성 ,0.276,127,574,463,128,56,31,2,39,95,4,2,96,12,130,6,4,2,1,11,280,0.411867365,0.60475162,1.016618985,0.328293737,0.539956803,1.137026239,122.6830662,9.573534068,0.42583274,111.74
2001장종훈 ,2001,38,장종훈 ,한화 ,0.273,120,421,366,100,69,16,0,15,54,11,4,45,4,87,7,3,4,2,4,161,0.355608592,0.43989071,0.795499302,0.166666667,0.308743169,0.783393502,59.5071734,5.677362833,0.345053012,58.954
2001홍성흔 ,2001,39,홍성흔 ,두산 ,0.267,122,452,408,109,82,18,1,8,48,9,4,26,6,53,13,9,4,8,3,153,0.317567568,0.375,0.692567568,0.107843137,0.183823529,0.601265823,47.03769912,3.87200572,0.302485261,47.126
2001강석천 ,2001,40,강석천 ,한화 ,0.26,120,450,407,106,85,18,1,2,45,19,9,29,4,68,9,19,1,9,1,132,0.315192744,0.324324324,0.639517068,0.063882064,0.15970516,0.548589342,41.78533333,3.429191489,0.285706818,40.816
2001김상훈 ,2001,41,김상훈 ,KIA ,0.26,127,437,396,103,86,10,1,6,41,0,4,27,3,73,12,8,3,8,0,133,0.31002331,0.335858586,0.645881896,0.075757576,0.133838384,0.514563107,39.22846682,3.309901888,0.287547786,38.836
2001박경완 ,2001,42,박경완 ,현대 ,0.257,130,528,421,108,70,13,1,24,81,21,8,91,7,121,9,9,3,6,2,195,0.394636015,0.463182898,0.857818913,0.206650831,0.45368171,0.927272727,84.31977273,6.715734111,0.376459615,83.202
2001채종범 ,2001,43,채종범 ,SK ,0.255,117,460,396,101,78,15,0,8,38,6,9,46,7,49,8,2,0,10,2,140,0.34298441,0.353535354,0.696519763,0.098484848,0.207070707,0.608974359,48.2275817,4.043927658,0.312592841,47.858
2001안재만 ,2001,44,안재만 ,SK ,0.255,124,438,369,94,68,15,0,11,44,19,5,50,6,90,14,17,1,12,0,142,0.352112676,0.384823848,0.736936524,0.130081301,0.303523035,0.721088435,51.80182648,4.555860961,0.32978169,51.7
2001박정태 ,2001,45,박정태 ,롯데 ,0.247,118,415,356,88,55,25,1,7,59,1,2,46,2,41,18,11,7,4,2,136,0.330900243,0.382022472,0.712922715,0.134831461,0.261235955,0.635416667,43.10168675,3.892125559,0.312694377,43.942
2001퀸란 ,2001,46,퀸란 ,현대 ,0.242,123,474,414,100,58,13,1,28,66,0,4,49,10,160,4,13,1,0,2,199,0.335443038,0.480676329,0.816119366,0.239130435,0.347826087,0.788819876,68.28130802,5.707725438,0.352811441,67.67
2001박종호 ,2001,47,박종호 ,현대 ,0.241,123,542,456,110,86,12,3,9,65,5,1,46,16,53,14,15,2,22,1,155,0.330769231,0.339912281,0.670681511,0.098684211,0.208333333,0.612188366,53.86084871,3.777254325,0.302612717,54.166
