YrPlayer,Year,Rank,Player,Team,AVG,G,PA,AB,R,H,1B,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,SB,CS,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ISO,SECA,TA,RC,RC/27,wOBA,XR
2014채태인,2014,21,채태인,삼성,0.317,124,541,492,69,156,103,38,1,14,238,99,0,6,41,1,1,0,2,91,8,0.484,0.368,0.852,45,0.362,0,0.166666667,0.25203252,0.819767442,89.16628466,6.878541959,0.367235185,83.062
2014송광민,2014,22,송광민,한화,0.316,103,421,389,52,123,88,22,2,11,182,58,4,2,26,2,3,2,0,73,15,0.468,0.357,0.825,33,0.281,0,0.151670951,0.221079692,0.738515901,60.487981,5.651126252,0.356274699,57.146
2014유한준,2014,23,유한준,넥센,0.316,122,469,405,71,128,77,31,0,20,219,91,8,7,46,0,2,1,3,53,9,0.541,0.384,0.925,38,0.328,0.167,0.224691358,0.340740741,0.93728223,85.6649467,7.658786625,0.395112798,80.546
2014홍성흔,2014,24,홍성흔,두산,0.315,124,521,447,63,141,101,19,1,20,222,82,5,1,64,0,5,3,4,79,13,0.497,0.405,0.902,42,0.323,0,0.181208054,0.32885906,0.906832298,90.90633397,7.483143345,0.393472868,84.668
2014박석민,2014,25,박석민,삼성,0.315,110,425,356,77,112,64,21,0,27,214,72,0,3,54,3,0,1,12,62,12,0.601,0.419,1.02,29,0.298,0.5,0.286516854,0.435393258,1.085603113,90.04729412,9.351065158,0.432331754,82.064
2014나지완,2014,26,나지완,KIA,0.312,118,470,398,64,124,83,22,0,19,203,79,0,6,54,4,3,3,12,97,9,0.51,0.404,0.914,35,0.281,0.25,0.198492462,0.334170854,0.940559441,84.75829787,7.837239872,0.393437768,79.814
2014박정권,2014,27,박정권,SK,0.31,120,499,452,81,140,78,33,2,27,258,109,0,4,41,2,7,9,2,106,6,0.571,0.367,0.938,38,0.338,0.5,0.261061947,0.347345133,0.914373089,92.37643287,7.535237726,0.397541247,86.872
2014박종윤,2014,28,박종윤,롯데,0.309,123,476,440,59,136,94,31,4,7,196,73,4,6,22,2,0,2,4,65,10,0.445,0.343,0.788,40,0.324,0.636,0.136363636,0.181818182,0.696202532,65.3697479,5.414058875,0.339465957,62.38
2014칸투,2014,29,칸투,두산,0.309,111,419,376,56,116,72,25,1,18,197,72,0,2,34,0,1,0,7,85,11,0.524,0.375,0.899,34,0.258,0.083,0.215425532,0.308510638,0.881918819,72.90243437,7.210130872,0.387250597,67.67
2014이승엽,2014,30,이승엽,삼성,0.308,127,548,506,83,156,94,30,0,32,282,101,0,2,40,3,5,1,0,77,10,0.557,0.358,0.915,47,0.293,0,0.249011858,0.335968379,0.903047091,99.67718978,7.414005851,0.389411009,93.514
2014나바로,2014,31,나바로,삼성,0.308,125,602,500,118,154,95,27,1,31,276,98,0,5,96,1,25,9,1,71,7,0.552,0.417,0.969,46,0.407,0,0.244,0.468,1.074585635,123.5740864,9.091281559,0.41543594,114.682
2014정수빈,2014,32,정수빈,두산,0.306,128,507,431,79,132,101,18,7,6,182,49,22,2,41,1,32,5,11,68,8,0.422,0.379,0.801,32,0.361,0.667,0.116009281,0.273781903,0.836538462,75.67846154,6.081304945,0.35328719,72.336
2014이택근,2014,33,이택근,넥센,0.306,122,527,441,87,135,81,32,1,21,232,91,12,10,51,0,11,8,13,43,10,0.526,0.386,0.912,38,0.308,0,0.219954649,0.342403628,0.922839506,91.28994307,7.123781685,0.390807767,88.596
2014이병규,2014,34,이병규,LG,0.306,116,450,360,66,110,63,28,3,16,192,87,3,8,74,2,5,10,5,78,7,0.533,0.423,0.956,27,0.327,0.125,0.227777778,0.419444444,0.996254682,84.21884444,8.179528058,0.408892135,79.566
2014박병호,2014,35,박병호,넥센,0.303,128,571,459,126,139,69,16,2,52,315,124,0,4,96,3,8,3,12,142,13,0.686,0.433,1.119,39,0.292,1,0.383442266,0.603485839,1.273809524,141.0030473,11.19730081,0.465205986,126.644
2014김강민,2014,36,김강민,SK,0.302,113,483,430,86,130,82,29,3,16,213,82,2,4,43,0,32,5,4,91,12,0.495,0.368,0.863,37,0.358,1,0.193023256,0.355813953,0.905362776,81.15279503,6.783670173,0.372659044,77.572
2014박민우,2014,37,박민우,NC,0.298,118,491,416,87,124,93,21,9,1,166,40,4,4,56,0,50,10,11,89,5,0.399,0.392,0.791,31,0.38,0.5,0.100961538,0.331730769,0.889250814,76.55820774,6.562132092,0.352447639,73.798
2014정근우,2014,38,정근우,한화,0.295,125,549,464,91,137,98,28,5,6,193,44,7,3,66,0,32,3,9,56,11,0.416,0.391,0.807,44,0.248,0.333,0.120689655,0.325431034,0.870967742,84.51606557,6.501235813,0.358385609,80.742
2014정훈,2014,39,정훈,롯데,0.294,124,558,477,89,140,103,27,7,3,190,58,6,2,62,0,8,4,11,105,10,0.398,0.386,0.784,41,0.306,0,0.104821803,0.243186583,0.760683761,77.49587814,5.828380807,0.349818841,73.63
2014김민성,2014,40,김민성,넥센,0.292,116,486,438,60,128,85,29,2,12,197,77,5,3,30,1,3,1,10,80,10,0.45,0.349,0.799,38,0.292,0.333,0.157534247,0.230593607,0.744548287,68.76341564,5.643198244,0.3473625,65.54
2014신종길,2014,41,신종길,KIA,0.292,103,399,360,60,105,66,24,6,9,168,51,5,3,29,0,20,7,2,92,2,0.467,0.345,0.812,29,0.233,0.333,0.175,0.291666667,0.803030303,60.67353383,6.022740491,0.350444162,58.264
2014전준우,2014,42,전준우,롯데,0.292,113,470,415,69,121,82,23,2,14,190,66,9,3,34,0,7,4,9,71,10,0.458,0.356,0.814,37,0.293,0.2,0.16626506,0.255421687,0.766233766,67.35957447,5.683464096,0.354422993,65.142
2014손주인,2014,43,손주인,LG,0.29,120,400,341,50,99,83,11,0,5,125,30,17,4,30,0,53,6,8,42,8,0.367,0.358,0.725,28,0.288,0.4,0.076246334,0.302052786,0.8203125,53.3082,5.196106137,0.323746736,54.244
2014김상수,2014,44,김상수,삼성,0.288,128,493,427,74,123,90,20,8,5,174,63,10,8,41,1,12,11,7,77,7,0.407,0.354,0.761,35,0.312,0,0.119437939,0.217798595,0.692546584,62.6337931,4.973860041,0.332838174,62.584
2014이용규,2014,45,이용규,한화,0.288,104,418,358,62,103,87,12,4,0,123,20,2,1,52,0,15,4,5,46,5,0.344,0.385,0.729,27,0.208,0.286,0.055865922,0.231843575,0.723484848,53.16789474,5.376528681,0.331504808,52.382
2014이종욱,2014,46,이종욱,NC,0.288,124,495,438,73,126,88,28,4,6,180,78,1,13,40,0,1,0,3,60,5,0.411,0.342,0.753,36,0.348,0.667,0.123287671,0.216894977,0.706624606,65.92468687,5.377542433,0.326951417,66.2
2014최준석,2014,47,최준석,롯데,0.286,121,460,371,54,106,70,13,0,23,188,90,0,6,81,3,6,3,2,88,14,0.507,0.411,0.918,25,0.3,0.214,0.221024259,0.447439353,0.971631206,80.40626087,7.538086957,0.395835886,78.036
2014김성현,2014,48,김성현,SK,0.284,122,476,398,73,113,87,20,1,5,150,43,10,6,55,0,10,3,7,51,7,0.377,0.376,0.753,29,0.25,0,0.092964824,0.248743719,0.742372881,62.27016807,5.406091761,0.336888412,62.032
2014나주환,2014,49,나주환,SK,0.273,127,478,422,64,115,83,25,0,7,161,51,14,3,36,0,3,5,3,101,8,0.382,0.332,0.714,26,0.209,0.5,0.109004739,0.18957346,0.61875,53.55050209,4.29039631,0.31518319,52.052
2014이호준,2014,50,이호준,NC,0.271,122,500,424,59,115,72,20,0,23,204,78,1,5,67,0,2,2,3,104,15,0.481,0.371,0.852,32,0.241,0.25,0.20990566,0.367924528,0.840490798,76.05696,6.185355181,0.36990982,74.738
2014이범호,2014,51,이범호,KIA,0.269,105,406,350,47,94,52,23,0,19,174,82,0,4,41,1,14,3,11,89,9,0.497,0.36,0.857,24,0.293,0,0.228571429,0.377142857,0.884328358,64.89428571,6.441712185,0.369291358,63.468
2014모창민,2014,52,모창민,NC,0.263,122,468,419,62,110,79,15,0,16,173,72,8,4,37,0,28,12,0,82,13,0.413,0.32,0.733,22,0.263,0.667,0.150357995,0.276849642,0.676646707,53.0282906,4.138045798,0.319969565,55.644
2014오지환,2014,53,오지환,LG,0.262,113,464,397,72,104,68,20,8,8,164,56,6,3,51,2,37,7,7,102,8,0.413,0.354,0.767,21,0.359,0,0.151133501,0.355163728,0.818181818,64.14775862,5.46368922,0.336344298,63.404
2014조동화,2014,54,조동화,SK,0.262,125,522,443,74,116,97,12,5,2,144,52,28,4,43,1,2,8,4,72,8,0.325,0.33,0.655,26,0.328,0.143,0.063205418,0.146726862,0.539358601,48.89862069,3.52070069,0.293758621,48.544
2014김재호,2014,55,김재호,두산,0.252,122,421,341,50,86,68,14,1,3,111,54,13,11,54,0,,,2,59,14,0.326,0.348,0.674,21,0.298,0,0.073313783,0.231671554,0.620817844,41.96940618,3.867487941,0.304497549,44.468
