구분,대여소번호,대여소명,위도,경도,거치대수
영등포구,228,228. 선유도역 3번출구 앞,37.53846,126.894508,10
영등포구,229,229. 양평1 보행육교 앞,37.535873,126.892181,20
영등포구,230,230. 영등포구청역 1번출구,37.524635,126.896217,10
영등포구,231,231. 남부고용노동지청 남측,37.524506,126.891823,10
영등포구,232,232. 양평우림 이비즈센타 앞,37.52565,126.887817,20
영등포구,233,233. YP 센터 앞,37.528488,126.891647,10
영등포구,234,234. 영등포구민체육센터 앞,37.500462,126.905846,10
영등포구,235,235. 신길동 우리은행 옆,37.504566,126.910233,10
영등포구,236,236. 문래동자이아파트 앞,37.516155,126.894615,10
영등포구,237,237. 보라매 두산위브 건너편,37.496513,126.914803,20
영등포구,238,238. 제2구민체육센타 앞,37.526386,126.902756,10
영등포구,239,239. 유스호스텔 앞,37.525852,126.903282,20
영등포구,240,240. 문래역 4번출구 앞,37.518738,126.895576,10
영등포구,241,241. 신길우성1차아파트 앞 공원,37.505329,126.898483,10
영등포구,242,242. 신길선원가와인아파트 앞,37.510933,126.910225,15
영등포구,243,243. 이앤씨드림타워 앞,37.527084,126.89138,15
영등포구,244,244. 영등포삼환아파트 앞,37.530079,126.905708,20
영등포구,245,245. 삼성생명 당산사옥 앞,37.528263,126.896629,10
영등포구,247,247. 당산역 10번출구 앞,37.533688,126.902107,19
영등포구,248,248. 초원아파트 앞,37.531055,126.92421,10
영등포구,249,249. 여의도중학교 옆,37.52412,126.936546,8
영등포구,250,250. 대림아파트 사거리,37.507641,126.92308,10
영등포구,251,251. 서울지방병무청 버스정류장,37.504494,126.921951,10
영등포구,252,252. 보라매역4번출구,37.499977,126.920036,10
영등포구,253,253. 신풍역 5번출구 인근,37.500648,126.909515,10
영등포구,254,254. 도림신협 앞,37.503803,126.903419,10
영등포구,255,255. 도림4거리,37.506573,126.901131,10
영등포구,256,256. 동아에코빌입구,37.509476,126.8993,10
영등포구,257,257. 신길삼거리(우리은행),37.513844,126.919357,10
영등포구,258,258. 신길역3번출구,37.517693,126.914299,14
영등포구,259,259. 대방역6번출구,37.513592,126.925934,17
영등포구,260,260. 여의도 마리나선착장 앞,37.533817,126.912491,15
영등포구,262,262. 영문초등학교 사거리,37.519928,126.889183,12
영등포구,263,263. 근로자회관 사거리,37.517151,126.888626,12
영등포구,264,264. 교보생명보험 앞,37.521931,126.891617,15
영등포구,265,265. 영등포유통상가 사거리,37.521133,126.896538,15
영등포구,266,266. 영등포청과시장 사거리,37.520294,126.901192,10
영등포구,267,267. 삼성화재 사옥 옆,37.535961,126.8983,10
영등포구,268,268. 그랜드컨벤션센터 앞,37.534718,126.900002,10
영등포구,270,270. 증권거래소후문교차로,37.522343,126.927101,10
영등포구,271,271. 샛강생태공원방문자센터 앞,37.518963,126.921616,10
영등포구,272,272. 당산육갑문,37.535339,126.903679,20
영등포구,274,274. 영등포역지하쇼핑센타 5번출구,37.516651,126.90799,10
영등포구,275,275. 신동아아파트,37.522816,126.885651,10
영등포구,276,276. SK 영등포주유소,37.518284,126.912636,10
영등포구,277,277. 영등포뉴타운지하상가 2번게이트,37.520119,126.905167,10
영등포구,278,278. 쌍용플레티넘오피스텔,37.507931,126.895233,10
영등포구,279,279. 영등포 푸르지오 아파트,37.513229,126.904465,15
영등포구,280,양평동6차현대아파트 앞,37.532101,126.89444,10
영등포구,281,신동아아파트 앞,37.498241,126.893982,8
영등포구,282,신한은행,37.48753,126.904877,10
영등포구,283,아크로타워 스퀘어(영등포시장),37.522518,126.907219,15
영등포구,284,센트럴 푸르지오 시티 앞,37.518211,126.902229,12
영등포구,285,대림3동사거리(하나은행),37.499859,126.89724,8
영등포구,286,우성아파트 교차로,37.494572,126.89975,8
영등포구,287,영등포전화국사거리(서강어린이공원),37.525768,126.905739,10
영등포구,288,쌍용예가(구청별관),37.528099,126.893387,10
영등포구,289,대림3동사거리,37.499809,126.898003,10
영등포구,290,당산동 SK V1 빌딩,37.531509,126.897827,12
영등포구,291,문래동 하이테크 시티,37.513851,126.89888,14
영등포구,292,영일 어린이공원,37.51012,126.904068,10
영등포구,293,충북 미래관,37.529171,126.907578,15
중구,300,300. 정동사거리,37.56805,126.969231,7
종로구,301,301. 경복궁역 7번출구 앞,37.575794,126.971451,16
종로구,302,302. 경복궁역 4번출구 뒤,37.575947,126.97406,12
종로구,303,303. 광화문역 1번출구 앞,37.571732,126.974922,8
종로구,304,304. 광화문역 2번출구 앞,37.572113,126.977577,7
종로구,305,305. 종로구청 옆,37.572582,126.978355,16
종로구,306,306. 광화문역 7번출구 앞,37.570808,126.976433,9
종로구,307,307. 서울역사박물관 앞,37.57,126.9711,11
종로구,308,308. 광화문 S타워 앞,37.569969,126.973938,10
종로구,309,309. 광화문역 6번출구 옆,37.569889,126.976456,13
중구,310,310. 청계광장 옆,37.568878,126.97747,10
중구,311,311. 서울광장 옆,37.566612,126.97747,35
중구,312,312. 시청역 1번출구 뒤,37.564674,126.976738,7
중구,313,313. 서울역 광장 파출소 옆,37.556961,126.971771,5
종로구,314,314. 국립현대미술관,37.579708,126.980858,10
종로구,315,315. 신한은행 안국역지점 옆,37.57597,126.983063,9
종로구,316,316. 종각역 1번출구 앞,37.570396,126.981789,12
중구,318,318. 광교사거리 남측,37.568527,126.982552,10
중구,320,320. 을지로입구역 4번출구 앞,37.566223,126.983589,20
중구,321,321. KEB 하나은행 본점 앞,37.565464,126.984138,15
중구,322,322. 명동성당 앞,37.564476,126.986969,15
중구,324,324. 신세계백화점 본점 앞,37.56134,126.9804,10
종로구,326,326. 안국역 5번출구 앞,37.576241,126.98616,20
종로구,327,327. 낙원상가 옆,37.573357,126.987465,10
종로구,328,328. 탑골공원 앞,37.570396,126.98819,11
종로구,329,329. 청계2가 사거리 옆,37.568344,126.987892,8
중구,330,330. 청계천 한빛광장,37.568165,126.984978,12
중구,331,331. 을지로2가 사거리 북측,37.566383,126.987206,10
중구,332,을지로2가 사거리 남측,37.56599,126.987793,5
종로구,334,334. 종로3가역 2번출구 뒤,37.570599,126.991791,10
종로구,335,335. 종로3가역 15번출구 앞,37.570198,126.991257,10
중구,336,336. 티마크 호텔 앞,37.562618,126.992836,10
종로구,337,337. 창경궁 입구,37.578979,126.996475,5
종로구,338,338. 세운스퀘어 앞,37.570957,126.997124,18
종로구,339,339. 종로4가 사거리,37.571068,126.998192,10
종로구,340,340. 혜화동 로터리,37.585629,127.000679,8
종로구,341,341. 혜화역 3번출구 뒤,37.58157,127.001785,10
종로구,342,342. 대학로 마로니에공원,37.579784,127.002533,10
종로구,343,343. 예일빌딩(율곡로) 앞,37.575432,127.004982,12
종로구,344,344. 성균관대 E하우스 앞,37.574036,127.006721,10
종로구,345,345. 서울보증보험본사 앞,37.573307,127.00071,15
중구,346,346. 맥스타일 앞,37.569183,127.00988,10
중구,347,347. 동대문역사문화공원역 9번출구 앞,37.565331,127.007843,18
종로구,348,348. 독립문역 사거리,37.572029,126.960785,14
종로구,349,349. 사직동주민센터,37.576332,126.96859,7
종로구,351,351. 청운초교 앞 삼거리,37.585079,126.970619,8
종로구,352,352. 중앙고입구 삼거리,37.583416,126.985237,15
종로구,353,353. 재동초교 앞 삼거리,37.579388,126.984947,8
종로구,354,354. 포르투갈 대사관 앞,37.579155,126.98896,10
종로구,355,355. 서울사대부속초교 앞,37.576508,127.002457,15
종로구,356,356. KT혜화지사 앞,37.577145,127.00206,15
종로구,358,358. 성대입구 사거리,37.5825,126.998535,13
종로구,359,359. 원남동사거리,37.576061,126.997681,8
종로구,361,361. 동묘앞역 1번출구 뒤,37.573242,127.015907,10
종로구,362,362. 청계8가 사거리,37.572224,127.022705,10
종로구,363,363. 신설동역 11번출구 뒤,37.57576,127.022835,10
종로구,364,364. 창신역 1번출구 앞,37.579334,127.015083,8
종로구,367,367. 독립문역 3-1번출구 ,37.573849,126.958694,8
종로구,368,368. SK 서린빌딩 앞,37.569248,126.980537,12
종로구,369,369. 광화문 시민열린마당,37.575493,126.9785,20
중구,370,370. 시청역(2호선) 9번출구 뒤,37.563229,126.974838,8
중구,371,371. 동대입구역 6번출구 뒤,37.558872,127.005539,10
중구,372,372. 약수역 3번출구 뒤,37.554295,127.0112,10
중구,373,373. 청구 어린이공원,37.555859,127.013855,8
중구,374,374. 청구역 2번출구 앞,37.560474,127.014076,10
중구,375,375. 다산 어린이공원,37.563717,127.018425,8
중구,377,377. 서울역 4번출구 앞,37.557217,126.973007,10
중구,378,378. 청계7가 사거리,37.569805,127.016953,10
중구,379,379. 서울역9번출구,37.556,126.973358,7
중구,380,380. CJ제일제당 앞,37.563866,127.002747,8
중구,381,381. 장충체육관,37.558533,127.006989,10
중구,382,382. 약수역 10번출구 앞,37.555199,127.010048,7
중구,383,383. 신당역 12번 출구 뒤,37.565849,127.016403,17
중구,384,384. 종로학원본원 ,37.55978,126.968506,10
종로구,385,385. 종각역 5번출구,37.569836,126.982658,10
종로구,386,386. 올림픽기념 국민생활관 앞,37.590233,126.99852,10
중구,387,387. 훈련원공원주차장 앞,37.566994,127.003464,10
종로구,388,388. 동성중학교 앞,37.585735,127.00161,10
중구,389,389. 을지로4가역 1번출구,37.56673,126.996605,10
중구,390,390. 충무로역 1번출구,37.56139,126.995354,10
중구,391,391. 정동길입구,37.565437,126.973305,8
종로구,393,393. 동대문역 8번 출구,37.570141,127.009377,10
종로구,394,394. 경희궁 자이 3단지,37.56749,126.965919,15
종로구,395,395. 경희궁 자이 2단지,37.568855,126.964561,8
종로구,397,397. 종묘공영주차장 건너편,37.57048,126.996635,13
중구,398,을지로3가역 3번출구,37.566559,126.992439,8
중구,399,서울역 센트럴 자이아파트,37.554482,126.966087,15
마포구,400,400. 상암한화오벨리스크 1차 앞,37.587524,126.883003,15
마포구,401,401. 상암월드컵파크 10단지 앞,37.586189,126.881615,15
마포구,402,402. 상암월드컵파크 9단지 앞,37.582855,126.879822,20
마포구,403,403. 부엉이공원 앞,37.58559,126.884727,20
마포구,405,405. DMC빌 앞,37.582657,126.885788,8
마포구,406,406. 상암월드컵파크 7단지 앞,37.581314,126.880585,15
마포구,407,407. 마포구 육아종합지원센터,37.580631,126.883675,8
마포구,408,408. LG CNS앞,37.580811,126.88665,20
마포구,409,409. 누리꿈스퀘어 옆,37.579399,126.88916,25
마포구,410,410. 상암중학교 옆,37.577496,126.887772,10
마포구,411,411. DMC홍보관,37.577995,126.891472,9
마포구,412,412. DMC산학협력연구센터 앞,37.575802,126.890739,20
마포구,413,413. 상암월드컵파크 3단지 후문,37.571476,126.889687,9
마포구,414,414. 상암동주민센터 옆,37.57822,126.89447,8
마포구,415,415. DMC역 9번출구 앞,37.577469,126.897362,10
마포구,416,416. 상암월드컵파크 1단지 교차로,37.575665,126.894447,12
마포구,417,417. DMC역 2번출구 옆,37.575069,126.899918,20
마포구,418,418. 월드컵경기장역 3번출구 옆,37.570721,126.898979,10
마포구,419,419. 홈플러스 앞,37.56842,126.899429,21
마포구,420,420. 서울시 공공자전거 상암센터,37.566246,126.896179,40
마포구,421,421. 마포구청 앞,37.565903,126.901184,8
마포구,422,422. 문화비축기지,37.569084,126.894424,13
마포구,424,424. 롯데하이마트 (상암월드컵점) ,37.57362,126.898048,15
마포구,425,DMC 첨단산업센터,37.584503,126.885597,10
마포구,426,426. 서울신용보증재단,37.549061,126.954178,10
마포구,427,427. 성산시영아파트,37.569584,126.903816,10
중구,428,명보사거리,37.5644,126.991432,10
중구,429,송도병원,37.549889,127.007347,8
중구,430,KEB하나은행 장충동지점,37.562172,127.006264,8
중구,431,청계천 영도교,37.5709,127.019524,15
마포구,432,마포중앙도서관,37.563339,126.908203,10
중구,433,을지로입구역 2번출구,37.566502,126.982338,10
중구,434,신당 레미안 버스정류장,37.561489,127.023933,10
중구,435,SK 남산빌딩,37.556862,126.975616,10
마포구,436,이대역 5번출구,37.556591,126.94619,10
마포구,437,대흥역 1번출구,37.54821,126.941383,12
마포구,438,성산2-1 공영주차장,37.56472,126.906769,15
마포구,439,마포어린이공원,37.535751,126.944038,10
종로구,446,446. 상명대입구,37.600128,126.957832,10
종로구,447,447. 신영동삼거리,37.603992,126.961945,10
종로구,449,449. 일성아파트,37.608719,126.972862,10
종로구,450,450. 효자동 삼거리,37.583603,126.972549,20
종로구,451,451. 청와대앞길,37.583515,126.979668,13
종로구,452,동대문 종합시장 버스정류장,37.571239,127.00441,13
종로구,453,종로오가 지하쇼핑센터 14번출구,37.57114,127.000671,10
종로구,454,종로2가 버스정류장(종각방향),37.570358,126.986382,13
종로구,455,삼익한의원,37.570961,127.006058,8
종로구,456,숭인2동 주민센터 입구(이강3대냉면),37.574471,127.019829,10
종로구,457,종로꾳시장 입구 옆,37.57132,127.00721,10
종로구,458,광화문역 5번출구,37.569939,126.977539,11
종로구,461,서울지방경찰청,37.574364,126.972366,10
광진구,500,500. 어린이대공원역 3번출구 앞,37.54707,127.074272,10
광진구,501,501. 광진구의회 앞,37.537308,127.070351,15
광진구,502,502. 뚝섬유원지역 1번출구 앞,37.53186,127.067192,27
광진구,503,503. 더샵스타시티 C동 앞,37.536667,127.073593,15
광진구,504,504. 신자초교입구교차로,37.53297,127.075935,9
광진구,505,505. 자양사거리 광진아크로텔 앞,37.53701,127.082245,10
성동구,506,506. 금호 어울림 아파트 앞,37.549061,127.057793,7
성동구,507,507. 성수아이에스비즈타워 앞,37.548203,127.057114,7
성동구,508,508. 성수아카데미타워 앞,37.545166,127.05751,10
성동구,509,509. 이마트 버스정류소 옆,37.539654,127.052589,20
성동구,510,510. 서울숲 남문 버스정류소 옆,37.541222,127.0438,10
성동구,511,511. 서울숲역 4번 출구 옆,37.544582,127.044609,16
성동구,512,512. 뚝섬역 1번 출구 옆,37.548561,127.045006,15
성동구,513,513. 뚝섬역 5번 출구 정류소 옆,37.546307,127.049805,13
성동구,514,514. 성수사거리 버스정류장 앞,37.54258,127.063309,7
광진구,515,515. 광양중학교 앞,37.530235,127.08683,10
광진구,516,516. 광진메디칼 앞,37.548405,127.069366,10
성동구,518,518. 청계천 박물관 앞,37.571526,127.035355,20
성동구,519,519. 양지사거리,37.566994,127.029915,20
성동구,520,520. 상왕십리역 4번 출구 앞,37.563858,127.030319,10
성동구,521,521. 왕십리역 11번 출구 앞,37.561447,127.03492,14
성동구,522,522. 금호역 1번출구 앞,37.548641,127.016426,9
성동구,523,523. 옥수동성당 옆,37.543663,127.014061,11
성동구,524,524. 래미안금호하이리버 아파트 102동 옆,37.5522,127.025055,10
성동구,525,525. 한양대병원사거리,37.558052,127.040352,20
성동구,526,526. 용답토속공원 앞,37.563511,127.056725,10
성동구,529,529. 장한평역 8번 출구 앞,37.561371,127.06366,15
성동구,530,530. 청계벽산아파트 앞,37.568748,127.030403,9
성동구,533,533. 우리은행 금호동 지점 앞,37.548149,127.021088,7
성동구,534,534. 금호사거리,37.548634,127.025726,20
성동구,535,535. 응봉삼거리,37.553986,127.033592,16
성동구,536,536. 행당역 2번출구 앞,37.55735,127.029213,8
성동구,537,537. 한양대후문역 부근,37.560356,127.041397,10
성동구,538,538. 답십리역 8번출구 앞,37.56765,127.051155,15
광진구,539,539. 군자교교차로,37.559795,127.074203,10
광진구,540,540. 군자역 7번출구 베스트샵 앞,37.55603,127.078644,8
광진구,542,542. 강변역 4번출구 뒤,37.535465,127.094482,19
광진구,543,543. 구의공원(테크노마트 앞),37.535969,127.094673,20
광진구,544,544. 광남중학교,37.54073,127.102905,20
광진구,546,546. 잠실대교북단 교차로,37.532478,127.085091,8
광진구,548,548. 자양나들목,37.52977,127.07486,20
광진구,549,549. 아차산역 3번출구,37.551224,127.089706,10
성동구,550,550. 서울시설공단 앞,37.57164,127.03566,15
광진구,551,551. 구의삼성쉐르빌 앞,37.540062,127.094498,10
광진구,552,552. 대림아크로리버 앞,37.536579,127.092972,10
광진구,553,553. 중곡 성원APT 앞,37.571255,127.079803,10
광진구,555,555. 구의3동주민센터,37.537849,127.092171,10
성동구,556,556. 달맞이공원,37.542053,127.020401,20
성동구,557,557. 도선동 주민센터 앞,37.567642,127.025696,10
성동구,558,558. 성동광진 교육지원청 앞,37.564606,127.036522,20
성동구,559,559. 왕십리역 4번 출구 건너편,37.561096,127.036797,10
성동구,560,560. 비전교회 앞,37.551205,127.068932,8
성동구,561,561. 서울숲역 2번출구 앞,37.542816,127.04467,10
성동구,562,562. 군자지하보도 앞,37.559246,127.07341,10
성동구,563,563. 성동세무서 건너편,37.547913,127.062752,10
성동구,564,564. 금호역 3번출구,37.547928,127.015572,15
성동구,565,565. 옥수역 3번출구,37.541363,127.017662,20
성동구,567,567. 성수역 2번출구 앞,37.54459,127.057083,15
성동구,568,568. 청계8가사거리 부근,37.571102,127.02356,10
성동구,569,569. 응봉현대아파트 정류소,37.549583,127.030243,10
광진구,571,571. 어린이대공원역6번출구,37.548496,127.07476,20
광진구,572,572. 국립정신 건강센터 앞,37.56538,127.08651,20
광진구,573,573. 구의문주차장 앞,37.545231,127.084732,10
광진구,574,574. 아차산역4번출구,37.551849,127.088982,20
광진구,575,575. 중앙농협 중곡지점,37.564293,127.086937,10
광진구,576,576. 광나루역 3번 출구,37.54483,127.104263,10
광진구,577,577. 광진청소년수련관,37.546547,127.106133,10
성동구,578,578. 성동세무서 부근,37.548286,127.062088,8
성동구,579,579. 마장역 4번출구,37.565205,127.041847,8
성동구,580,580. 신금호역 3번출구 뒤,37.55439,127.020149,6
성동구,581,581. 용답초등학교,37.561012,127.054237,13
성동구,582,582. 경일중학교 앞,37.543179,127.04908,10
성동구,583,583. 청계천 생태교실 앞,37.56797,127.04689,20
광진구,584,584. 광진광장 교통섬,37.547829,127.072632,20
성동구,585,585. 성수2가1동 공영주차장 인근,37.536808,127.055489,9
성동구,586,586. 마장동 주민센터,37.565941,127.045395,10
성동구,587,587. KEB하나은행 성수중앙지점,37.545418,127.052643,10
광진구,588,588. 뚝섬 유원지역,37.532688,127.067497,15
성동구,589,589. 성수역3번출구,37.544159,127.056656,8
광진구,590,590. 건국대학교 (입학정보관),37.540089,127.073746,20
광진구,591,591. 건국대학교 (행정관),37.542778,127.075371,5
광진구,592,592. 건국대학교 학생회관,37.541763,127.07843,30
광진구,593,593.자양중앙나들목,37.528587,127.077873,5
성동구,594,594. 중랑물재생센터(서울새활용플라자),37.558365,127.056908,15
동대문구,600,600. 휘경2동 주민센터,37.589912,127.06868,10
동대문구,601,601. 용신동주민센터,37.575947,127.037361,10
동대문구,602,602. 장안동 사거리,37.572174,127.071388,10
동대문구,604,604. 답십리초등학교 옆 공원,37.569656,127.055962,15
동대문구,605,605. 신설동역8번출구,37.5742,127.026497,8
동대문구,606,606. 휘경공고앞,37.584625,127.07029,6
동대문구,607,607. 신이문역 2번출구,37.602711,127.067863,10
동대문구,608,608. 전농삼성아파트,37.58131,127.055344,10
동대문구,609,609. 제기2교,37.587791,127.037361,20
동대문구,610,610. 동대문중 교차로,37.573086,127.052162,10
동대문구,612,612. 시립동부병원 앞 사거리,37.573666,127.030815,20
동대문구,613,613. 신설동역 10번출구 앞,37.575272,127.023468,10
동대문구,614,614. 용두동 사거리,37.577686,127.031013,20
동대문구,615,615. 용두동 레미안허브리츠아파트 앞,37.576382,127.03511,20
동대문구,616,시립대 앞,37.582561,127.054367,20
동대문구,617,617. 청솔우성아파트 앞,37.574203,127.057693,20
동대문구,621,621. 동대문중학교 옆,37.574718,127.053391,15
동대문구,622,622. 전농사거리 교통섬,37.577793,127.057831,15
동대문구,623,623. 서울시립대 정문 앞,37.583698,127.053856,20
동대문구,624,624. 전농동 동아아파트 앞,37.574188,127.045891,10
동대문구,625,625. 답십리초등학교 앞(현대시장 옆),37.568192,127.057175,9
동대문구,626,626. 군자교 서측 녹지대,37.561153,127.070969,10
동대문구,627,627. 장안동삼거리 교통섬,37.578632,127.071907,10
동대문구,628,628. 휘봉고등학교 앞,37.586815,127.067543,15
동대문구,630,630. 동대문구 보건소,37.574852,127.040306,15
동대문구,631,631. 답십리역 1번출구,37.568184,127.051277,15
